"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",62.511776,180.502232,3,60.167410,53.636383,64.107879,"[CUDA memcpy HtoD]"
"GPU activities",37.488224,108.246933,1,108.246933,108.246933,108.246933,"[CUDA memcpy DtoH]"
"API calls",51.872377,316.356542,3,105.452180,0.584856,315.174671,"cudaMalloc"
"API calls",47.669564,290.724647,4,72.681161,54.130472,109.249119,"cudaMemcpy"
"API calls",0.203622,1.241840,3,0.413946,0.362395,0.511922,"cudaFree"
"API calls",0.131229,0.800330,2,0.400165,0.341673,0.458657,"cuDeviceTotalMem"
"API calls",0.106451,0.649217,194,0.003346,0.000202,0.142571,"cuDeviceGetAttribute"
"API calls",0.011396,0.069500,2,0.034750,0.029320,0.040180,"cuDeviceGetName"
"API calls",0.004098,0.024991,2,0.012495,0.004212,0.020779,"cuDeviceGetPCIBusId"
"API calls",0.000548,0.003340,1,0.003340,0.003340,0.003340,"cudaLaunchKernel"
"API calls",0.000331,0.002016,4,0.000504,0.000196,0.001378,"cuDeviceGet"
"API calls",0.000284,0.001733,3,0.000577,0.000220,0.001219,"cuDeviceGetCount"
"API calls",0.000101,0.000619,2,0.000309,0.000270,0.000349,"cuDeviceGetUuid"
